postgresql.db_query_parse.station_ana_id,0.50,1914
postgresql.db_query_parse.station_coords,0.50,1587
postgresql.db_query_parse.station_ident,0.50,1730
postgresql.db_query_parse.station_repmemo,0.50,1101
postgresql.db_query_parse.stationdata_ana_id,0.50,1921
postgresql.db_query_parse.stationdata_coords,0.50,1566
postgresql.db_query_parse.stationdata_ident,0.50,1761
postgresql.db_query_parse.stationdata_repmemo,0.50,1093
postgresql.db_query_parse.data_ana_id,0.50,1899
postgresql.db_query_parse.data_coords,0.50,1493
postgresql.db_query_parse.data_ident,0.50,1717
postgresql.db_query_parse.data_repmemo,0.50,1088
postgresql.db_query_parse.data_datetime,0.50,1986
postgresql.db_import.create_synop-cloudbelow.bufr,0.68,2
postgresql.db_import.overwrite_synop-cloudbelow.bufr,0.51,6
postgresql.db_import.create_synop-evapo.bufr,0.71,3
postgresql.db_import.overwrite_synop-evapo.bufr,0.50,10
postgresql.db_import.create_synop-groundtemp.bufr,0.88,2
postgresql.db_import.overwrite_synop-groundtemp.bufr,0.53,3
postgresql.db_import.create_synop-gtscosmo.bufr,0.50,18
postgresql.db_import.overwrite_synop-gtscosmo.bufr,0.50,250
postgresql.db_import.create_synop-longname.bufr,0.56,5
postgresql.db_import.overwrite_synop-longname.bufr,0.51,35
postgresql.db_import.create_temp-gts1.bufr,0.55,7
postgresql.db_import.overwrite_temp-gts1.bufr,0.50,83
postgresql.db_import.create_temp-gts2.bufr,0.69,3
postgresql.db_import.overwrite_temp-gts2.bufr,0.52,12
postgresql.db_import.create_temp-gts3.bufr,0.52,14
postgresql.db_import.overwrite_temp-gts3.bufr,0.50,171
postgresql.db_import.create_temp-gtscosmo.bufr,0.50,25
postgresql.db_import.overwrite_temp-gtscosmo.bufr,0.50,529
postgresql.db_import.create_temp-timesig18.bufr,0.52,6
postgresql.db_import.overwrite_temp-timesig18.bufr,0.51,69
postgresql.db_import.create_gts-acars1.bufr,0.51,26
postgresql.db_import.overwrite_gts-acars1.bufr,0.50,492
postgresql.db_import.create_gts-acars2.bufr,0.50,26
postgresql.db_import.overwrite_gts-acars2.bufr,0.50,533
postgresql.db_import.create_gts-acars-us1.bufr,0.51,26
postgresql.db_import.overwrite_gts-acars-us1.bufr,0.50,559
postgresql.db_import.create_gts-amdar1.bufr,0.51,26
postgresql.db_import.overwrite_gts-amdar1.bufr,0.50,516
postgresql.db_import.create_gts-amdar2.bufr,0.51,26
postgresql.db_import.overwrite_gts-amdar2.bufr,0.50,527
postgresql.db_query.station_coords,0.50,1551
postgresql.db_query.stationdata_coords,0.50,860
postgresql.db_query.data_coords,0.50,569
postgresql.db_query.data_dt,0.50,545
postgresql.db_query.data_varcode,0.53,5
