mysql.db_query_parse.station_ana_id,0.50,3190
mysql.db_query_parse.station_coords,0.50,2214
mysql.db_query_parse.station_ident,0.50,2818
mysql.db_query_parse.station_repmemo,0.50,2411
mysql.db_query_parse.stationdata_ana_id,0.50,2985
mysql.db_query_parse.stationdata_coords,0.50,2021
mysql.db_query_parse.stationdata_ident,0.50,2608
mysql.db_query_parse.stationdata_repmemo,0.50,2501
mysql.db_query_parse.data_ana_id,0.50,2798
mysql.db_query_parse.data_coords,0.50,2340
mysql.db_query_parse.data_ident,0.50,2691
mysql.db_query_parse.data_repmemo,0.50,2599
mysql.db_query_parse.data_datetime,0.50,3497
mysql.db_import.create_synop-cloudbelow.bufr,0.51,1
mysql.db_import.overwrite_synop-cloudbelow.bufr,0.55,1
mysql.db_import.create_synop-evapo.bufr,0.69,2
mysql.db_import.overwrite_synop-evapo.bufr,0.52,4
mysql.db_import.create_synop-groundtemp.bufr,0.70,1
mysql.db_import.overwrite_synop-groundtemp.bufr,0.70,1
mysql.db_import.create_synop-gtscosmo.bufr,0.52,14
mysql.db_import.overwrite_synop-gtscosmo.bufr,0.50,164
mysql.db_import.create_synop-longname.bufr,0.64,4
mysql.db_import.overwrite_synop-longname.bufr,0.51,23
mysql.db_import.create_temp-gts1.bufr,0.51,5
mysql.db_import.overwrite_temp-gts1.bufr,0.50,37
mysql.db_import.create_temp-gts2.bufr,0.76,2
mysql.db_import.overwrite_temp-gts2.bufr,0.53,4
mysql.db_import.create_temp-gts3.bufr,0.50,10
mysql.db_import.overwrite_temp-gts3.bufr,0.50,114
mysql.db_import.create_temp-gtscosmo.bufr,0.51,16
mysql.db_import.overwrite_temp-gtscosmo.bufr,0.50,497
mysql.db_import.create_temp-timesig18.bufr,0.59,2
mysql.db_import.overwrite_temp-timesig18.bufr,0.50,52
mysql.db_import.create_gts-acars1.bufr,0.52,17
mysql.db_import.overwrite_gts-acars1.bufr,0.50,635
mysql.db_import.create_gts-acars2.bufr,0.51,18
mysql.db_import.overwrite_gts-acars2.bufr,0.50,661
mysql.db_import.create_gts-acars-us1.bufr,0.50,17
mysql.db_import.overwrite_gts-acars-us1.bufr,0.50,647
mysql.db_import.create_gts-amdar1.bufr,0.52,17
mysql.db_import.overwrite_gts-amdar1.bufr,0.50,603
mysql.db_import.create_gts-amdar2.bufr,0.52,17
mysql.db_import.overwrite_gts-amdar2.bufr,0.50,668
mysql.db_query.station_coords,0.50,2020
mysql.db_query.stationdata_coords,0.50,1128
mysql.db_query.data_coords,0.50,1094
mysql.db_query.data_dt,0.50,983
mysql.db_query.data_varcode,0.56,4
