postgresql.db_query_parse.station_ana_id,0.50,1879
postgresql.db_query_parse.station_coords,0.50,1577
postgresql.db_query_parse.station_ident,0.50,1736
postgresql.db_query_parse.station_repmemo,0.50,1056
postgresql.db_query_parse.stationdata_ana_id,0.50,1947
postgresql.db_query_parse.stationdata_coords,0.50,1541
postgresql.db_query_parse.stationdata_ident,0.50,1693
postgresql.db_query_parse.stationdata_repmemo,0.50,1109
postgresql.db_query_parse.data_ana_id,0.50,1904
postgresql.db_query_parse.data_coords,0.50,1534
postgresql.db_query_parse.data_ident,0.50,1774
postgresql.db_query_parse.data_repmemo,0.50,1097
postgresql.db_query_parse.data_datetime,0.50,2114
postgresql.db_import.create_synop-cloudbelow.bufr,0.61,4
postgresql.db_import.overwrite_synop-cloudbelow.bufr,0.51,12
postgresql.db_import.create_synop-evapo.bufr,0.53,5
postgresql.db_import.overwrite_synop-evapo.bufr,0.50,15
postgresql.db_import.create_synop-groundtemp.bufr,0.65,3
postgresql.db_import.overwrite_synop-groundtemp.bufr,0.53,7
postgresql.db_import.create_synop-gtscosmo.bufr,0.50,27
postgresql.db_import.overwrite_synop-gtscosmo.bufr,0.50,239
postgresql.db_import.create_synop-longname.bufr,0.54,10
postgresql.db_import.overwrite_synop-longname.bufr,0.50,43
postgresql.db_import.create_temp-gts1.bufr,0.54,8
postgresql.db_import.overwrite_temp-gts1.bufr,0.50,85
postgresql.db_import.create_temp-gts2.bufr,0.51,3
postgresql.db_import.overwrite_temp-gts2.bufr,0.51,13
postgresql.db_import.create_temp-gts3.bufr,0.52,18
postgresql.db_import.overwrite_temp-gts3.bufr,0.50,165
postgresql.db_import.create_temp-gtscosmo.bufr,0.50,38
postgresql.db_import.overwrite_temp-gtscosmo.bufr,0.50,495
postgresql.db_import.create_temp-timesig18.bufr,0.50,17
postgresql.db_import.overwrite_temp-timesig18.bufr,0.50,69
postgresql.db_import.create_gts-acars1.bufr,0.50,43
postgresql.db_import.overwrite_gts-acars1.bufr,0.50,524
postgresql.db_import.create_gts-acars2.bufr,0.51,43
postgresql.db_import.overwrite_gts-acars2.bufr,0.50,530
postgresql.db_import.create_gts-acars-us1.bufr,0.50,41
postgresql.db_import.overwrite_gts-acars-us1.bufr,0.50,542
postgresql.db_import.create_gts-amdar1.bufr,0.50,42
postgresql.db_import.overwrite_gts-amdar1.bufr,0.50,532
postgresql.db_import.create_gts-amdar2.bufr,0.50,43
postgresql.db_import.overwrite_gts-amdar2.bufr,0.50,511
postgresql.db_query.station_coords,0.50,1507
postgresql.db_query.stationdata_coords,0.50,866
postgresql.db_query.data_coords,0.50,580
postgresql.db_query.data_dt,0.50,547
postgresql.db_query.data_varcode,0.59,5
