mysql.db_query_parse.station_ana_id,0.50,2928
mysql.db_query_parse.station_coords,0.50,2417
mysql.db_query_parse.station_ident,0.50,2656
mysql.db_query_parse.station_repmemo,0.50,2589
mysql.db_query_parse.stationdata_ana_id,0.50,3356
mysql.db_query_parse.stationdata_coords,0.50,2104
mysql.db_query_parse.stationdata_ident,0.50,2691
mysql.db_query_parse.stationdata_repmemo,0.50,2320
mysql.db_query_parse.data_ana_id,0.50,3176
mysql.db_query_parse.data_coords,0.50,2204
mysql.db_query_parse.data_ident,0.50,2897
mysql.db_query_parse.data_repmemo,0.50,2584
mysql.db_query_parse.data_datetime,0.50,2956
mysql.db_import.create_synop-cloudbelow.bufr,0.59,3
mysql.db_import.overwrite_synop-cloudbelow.bufr,0.51,7
mysql.db_import.create_synop-evapo.bufr,0.62,4
mysql.db_import.overwrite_synop-evapo.bufr,0.52,9
mysql.db_import.create_synop-groundtemp.bufr,0.71,2
mysql.db_import.overwrite_synop-groundtemp.bufr,0.56,3
mysql.db_import.create_synop-gtscosmo.bufr,0.52,20
mysql.db_import.overwrite_synop-gtscosmo.bufr,0.50,134
mysql.db_import.create_synop-longname.bufr,0.56,9
mysql.db_import.overwrite_synop-longname.bufr,0.51,23
mysql.db_import.create_temp-gts1.bufr,0.52,4
mysql.db_import.overwrite_temp-gts1.bufr,0.50,42
mysql.db_import.create_temp-gts2.bufr,0.75,2
mysql.db_import.overwrite_temp-gts2.bufr,0.53,5
mysql.db_import.create_temp-gts3.bufr,0.52,14
mysql.db_import.overwrite_temp-gts3.bufr,0.50,94
mysql.db_import.create_temp-gtscosmo.bufr,0.51,27
mysql.db_import.overwrite_temp-gtscosmo.bufr,0.50,505
mysql.db_import.create_temp-timesig18.bufr,0.52,16
mysql.db_import.overwrite_temp-timesig18.bufr,0.50,75
mysql.db_import.create_gts-acars1.bufr,0.51,30
mysql.db_import.overwrite_gts-acars1.bufr,0.50,711
mysql.db_import.create_gts-acars2.bufr,0.51,29
mysql.db_import.overwrite_gts-acars2.bufr,0.50,595
mysql.db_import.create_gts-acars-us1.bufr,0.51,30
mysql.db_import.overwrite_gts-acars-us1.bufr,0.50,609
mysql.db_import.create_gts-amdar1.bufr,0.51,30
mysql.db_import.overwrite_gts-amdar1.bufr,0.50,618
mysql.db_import.create_gts-amdar2.bufr,0.50,29
mysql.db_import.overwrite_gts-amdar2.bufr,0.50,592
mysql.db_query.station_coords,0.50,1864
mysql.db_query.stationdata_coords,0.50,1121
mysql.db_query.data_coords,0.50,1229
mysql.db_query.data_dt,0.50,1052
mysql.db_query.data_varcode,0.62,4
