postgresql.db_query_parse.station_ana_id,0.50,1916
postgresql.db_query_parse.station_coords,0.50,1569
postgresql.db_query_parse.station_ident,0.50,1706
postgresql.db_query_parse.station_repmemo,0.50,1133
postgresql.db_query_parse.stationdata_ana_id,0.50,2048
postgresql.db_query_parse.stationdata_coords,0.50,1599
postgresql.db_query_parse.stationdata_ident,0.50,1771
postgresql.db_query_parse.stationdata_repmemo,0.50,1113
postgresql.db_query_parse.data_ana_id,0.50,1986
postgresql.db_query_parse.data_coords,0.50,1580
postgresql.db_query_parse.data_ident,0.50,1792
postgresql.db_query_parse.data_repmemo,0.50,1089
postgresql.db_query_parse.data_datetime,0.50,2031
postgresql.db_import.create_synop-cloudbelow.bufr,0.62,4
postgresql.db_import.overwrite_synop-cloudbelow.bufr,0.51,12
postgresql.db_import.create_synop-evapo.bufr,0.54,5
postgresql.db_import.overwrite_synop-evapo.bufr,0.52,17
postgresql.db_import.create_synop-groundtemp.bufr,0.64,3
postgresql.db_import.overwrite_synop-groundtemp.bufr,0.54,8
postgresql.db_import.create_synop-gtscosmo.bufr,0.50,26
postgresql.db_import.overwrite_synop-gtscosmo.bufr,0.50,241
postgresql.db_import.create_synop-longname.bufr,0.55,10
postgresql.db_import.overwrite_synop-longname.bufr,0.51,46
postgresql.db_import.create_temp-gts1.bufr,0.52,8
postgresql.db_import.overwrite_temp-gts1.bufr,0.50,86
postgresql.db_import.create_temp-gts2.bufr,0.51,3
postgresql.db_import.overwrite_temp-gts2.bufr,0.51,15
postgresql.db_import.create_temp-gts3.bufr,0.51,18
postgresql.db_import.overwrite_temp-gts3.bufr,0.50,148
postgresql.db_import.create_temp-gtscosmo.bufr,0.50,40
postgresql.db_import.overwrite_temp-gtscosmo.bufr,0.50,562
postgresql.db_import.create_temp-timesig18.bufr,0.52,17
postgresql.db_import.overwrite_temp-timesig18.bufr,0.50,69
postgresql.db_import.create_gts-acars1.bufr,0.51,43
postgresql.db_import.overwrite_gts-acars1.bufr,0.50,565
postgresql.db_import.create_gts-acars2.bufr,0.51,43
postgresql.db_import.overwrite_gts-acars2.bufr,0.50,503
postgresql.db_import.create_gts-acars-us1.bufr,0.51,42
postgresql.db_import.overwrite_gts-acars-us1.bufr,0.50,494
postgresql.db_import.create_gts-amdar1.bufr,0.50,42
postgresql.db_import.overwrite_gts-amdar1.bufr,0.50,512
postgresql.db_import.create_gts-amdar2.bufr,0.51,44
postgresql.db_import.overwrite_gts-amdar2.bufr,0.50,571
postgresql.db_query.station_coords,0.50,1552
postgresql.db_query.stationdata_coords,0.50,840
postgresql.db_query.data_coords,0.50,569
postgresql.db_query.data_dt,0.50,504
postgresql.db_query.data_varcode,0.51,4
