postgresql.db_query_parse.station_ana_id,0.50,1952
postgresql.db_query_parse.station_coords,0.50,1548
postgresql.db_query_parse.station_ident,0.50,1798
postgresql.db_query_parse.station_repmemo,0.50,1087
postgresql.db_query_parse.stationdata_ana_id,0.50,1914
postgresql.db_query_parse.stationdata_coords,0.50,1512
postgresql.db_query_parse.stationdata_ident,0.50,1709
postgresql.db_query_parse.stationdata_repmemo,0.50,1098
postgresql.db_query_parse.data_ana_id,0.50,2011
postgresql.db_query_parse.data_coords,0.50,1530
postgresql.db_query_parse.data_ident,0.50,1784
postgresql.db_query_parse.data_repmemo,0.50,1068
postgresql.db_query_parse.data_datetime,0.50,2001
postgresql.db_import.create_synop-cloudbelow.bufr,0.63,4
postgresql.db_import.overwrite_synop-cloudbelow.bufr,0.52,12
postgresql.db_import.create_synop-evapo.bufr,0.56,5
postgresql.db_import.overwrite_synop-evapo.bufr,0.53,16
postgresql.db_import.create_synop-groundtemp.bufr,0.66,3
postgresql.db_import.overwrite_synop-groundtemp.bufr,0.52,7
postgresql.db_import.create_synop-gtscosmo.bufr,0.51,27
postgresql.db_import.overwrite_synop-gtscosmo.bufr,0.50,233
postgresql.db_import.create_synop-longname.bufr,0.53,10
postgresql.db_import.overwrite_synop-longname.bufr,0.50,44
postgresql.db_import.create_temp-gts1.bufr,0.54,8
postgresql.db_import.overwrite_temp-gts1.bufr,0.50,81
postgresql.db_import.create_temp-gts2.bufr,0.52,3
postgresql.db_import.overwrite_temp-gts2.bufr,0.51,13
postgresql.db_import.create_temp-gts3.bufr,0.51,17
postgresql.db_import.overwrite_temp-gts3.bufr,0.50,169
postgresql.db_import.create_temp-gtscosmo.bufr,0.51,40
postgresql.db_import.overwrite_temp-gtscosmo.bufr,0.50,536
postgresql.db_import.create_temp-timesig18.bufr,0.52,17
postgresql.db_import.overwrite_temp-timesig18.bufr,0.50,73
postgresql.db_import.create_gts-acars1.bufr,0.50,44
postgresql.db_import.overwrite_gts-acars1.bufr,0.50,551
postgresql.db_import.create_gts-acars2.bufr,0.50,43
postgresql.db_import.overwrite_gts-acars2.bufr,0.50,568
postgresql.db_import.create_gts-acars-us1.bufr,0.50,41
postgresql.db_import.overwrite_gts-acars-us1.bufr,0.50,532
postgresql.db_import.create_gts-amdar1.bufr,0.50,44
postgresql.db_import.overwrite_gts-amdar1.bufr,0.50,555
postgresql.db_import.create_gts-amdar2.bufr,0.50,43
postgresql.db_import.overwrite_gts-amdar2.bufr,0.50,567
postgresql.db_query.station_coords,0.50,1498
postgresql.db_query.stationdata_coords,0.50,834
postgresql.db_query.data_coords,0.50,579
postgresql.db_query.data_dt,0.50,525
postgresql.db_query.data_varcode,0.60,5
