postgresqlv7.db_query_parse.station_ana_id,0.50,1929
postgresqlv7.db_query_parse.station_coords,0.50,1483
postgresqlv7.db_query_parse.station_ident,0.50,1703
postgresqlv7.db_query_parse.station_repmemo,0.50,1765
postgresqlv7.db_query_parse.stationdata_ana_id,0.50,1868
postgresqlv7.db_query_parse.stationdata_coords,0.50,1476
postgresqlv7.db_query_parse.stationdata_ident,0.50,1713
postgresqlv7.db_query_parse.stationdata_repmemo,0.50,1751
postgresqlv7.db_query_parse.data_ana_id,0.50,1990
postgresqlv7.db_query_parse.data_coords,0.50,1536
postgresqlv7.db_query_parse.data_ident,0.50,1724
postgresqlv7.db_query_parse.data_repmemo,0.50,1695
postgresqlv7.db_query_parse.data_datetime,0.50,1980
postgresqlv7.db_import.create_synop-cloudbelow.bufr,0.59,6
postgresqlv7.db_import.overwrite_synop-cloudbelow.bufr,0.50,35
postgresqlv7.db_import.create_synop-evapo.bufr,0.57,8
postgresqlv7.db_import.overwrite_synop-evapo.bufr,0.51,52
postgresqlv7.db_import.create_synop-groundtemp.bufr,0.57,4
postgresqlv7.db_import.overwrite_synop-groundtemp.bufr,0.52,21
postgresqlv7.db_import.create_synop-gtscosmo.bufr,0.51,28
postgresqlv7.db_import.overwrite_synop-gtscosmo.bufr,0.50,311
postgresqlv7.db_import.create_synop-longname.bufr,0.50,10
postgresqlv7.db_import.overwrite_synop-longname.bufr,0.50,156
postgresqlv7.db_import.create_temp-gts1.bufr,0.53,8
postgresqlv7.db_import.overwrite_temp-gts1.bufr,0.50,80
postgresqlv7.db_import.create_temp-gts2.bufr,0.67,4
postgresqlv7.db_import.overwrite_temp-gts2.bufr,0.51,19
postgresqlv7.db_import.create_temp-gts3.bufr,0.51,18
postgresqlv7.db_import.overwrite_temp-gts3.bufr,0.50,165
postgresqlv7.db_import.create_temp-gtscosmo.bufr,0.51,43
postgresqlv7.db_import.overwrite_temp-gtscosmo.bufr,0.50,863
postgresqlv7.db_import.create_temp-timesig18.bufr,0.51,22
postgresqlv7.db_import.overwrite_temp-timesig18.bufr,0.50,247
postgresqlv7.db_import.create_gts-acars1.bufr,0.50,44
postgresqlv7.db_import.overwrite_gts-acars1.bufr,0.50,1066
postgresqlv7.db_import.create_gts-acars2.bufr,0.51,46
postgresqlv7.db_import.overwrite_gts-acars2.bufr,0.50,1310
postgresqlv7.db_import.create_gts-acars-us1.bufr,0.51,44
postgresqlv7.db_import.overwrite_gts-acars-us1.bufr,0.50,1140
postgresqlv7.db_import.create_gts-amdar1.bufr,0.51,44
postgresqlv7.db_import.overwrite_gts-amdar1.bufr,0.50,943
postgresqlv7.db_import.create_gts-amdar2.bufr,0.51,46
postgresqlv7.db_import.overwrite_gts-amdar2.bufr,0.50,1410
postgresqlv7.db_query.station_coords,0.50,1453
postgresqlv7.db_query.stationdata_coords,0.50,999
postgresqlv7.db_query.data_coords,0.50,598
postgresqlv7.db_query.data_dt,0.50,546
postgresqlv7.db_query.data_varcode,0.54,5
