mysql.db_query_parse.station_ana_id,0.50,3146
mysql.db_query_parse.station_coords,0.50,2131
mysql.db_query_parse.station_ident,0.50,2798
mysql.db_query_parse.station_repmemo,0.50,2570
mysql.db_query_parse.stationdata_ana_id,0.50,3134
mysql.db_query_parse.stationdata_coords,0.50,1981
mysql.db_query_parse.stationdata_ident,0.50,2761
mysql.db_query_parse.stationdata_repmemo,0.50,2566
mysql.db_query_parse.data_ana_id,0.50,2908
mysql.db_query_parse.data_coords,0.50,2196
mysql.db_query_parse.data_ident,0.50,2644
mysql.db_query_parse.data_repmemo,0.50,2660
mysql.db_query_parse.data_datetime,0.50,3318
mysql.db_import.create_synop-cloudbelow.bufr,0.61,3
mysql.db_import.overwrite_synop-cloudbelow.bufr,0.52,7
mysql.db_import.create_synop-evapo.bufr,0.66,4
mysql.db_import.overwrite_synop-evapo.bufr,0.54,10
mysql.db_import.create_synop-groundtemp.bufr,0.68,2
mysql.db_import.overwrite_synop-groundtemp.bufr,0.50,3
mysql.db_import.create_synop-gtscosmo.bufr,0.51,20
mysql.db_import.overwrite_synop-gtscosmo.bufr,0.50,150
mysql.db_import.create_synop-longname.bufr,0.55,9
mysql.db_import.overwrite_synop-longname.bufr,0.51,31
mysql.db_import.create_temp-gts1.bufr,0.50,4
mysql.db_import.overwrite_temp-gts1.bufr,0.51,44
mysql.db_import.create_temp-gts2.bufr,0.63,2
mysql.db_import.overwrite_temp-gts2.bufr,0.53,6
mysql.db_import.create_temp-gts3.bufr,0.51,14
mysql.db_import.overwrite_temp-gts3.bufr,0.50,103
mysql.db_import.create_temp-gtscosmo.bufr,0.51,29
mysql.db_import.overwrite_temp-gtscosmo.bufr,0.50,457
mysql.db_import.create_temp-timesig18.bufr,0.52,15
mysql.db_import.overwrite_temp-timesig18.bufr,0.51,69
mysql.db_import.create_gts-acars1.bufr,0.51,31
mysql.db_import.overwrite_gts-acars1.bufr,0.50,628
mysql.db_import.create_gts-acars2.bufr,0.51,31
mysql.db_import.overwrite_gts-acars2.bufr,0.50,666
mysql.db_import.create_gts-acars-us1.bufr,0.51,29
mysql.db_import.overwrite_gts-acars-us1.bufr,0.50,663
mysql.db_import.create_gts-amdar1.bufr,0.50,30
mysql.db_import.overwrite_gts-amdar1.bufr,0.50,617
mysql.db_import.create_gts-amdar2.bufr,0.51,14
mysql.db_import.overwrite_gts-amdar2.bufr,0.50,715
mysql.db_query.station_coords,0.50,2073
mysql.db_query.stationdata_coords,0.50,1342
mysql.db_query.data_coords,0.50,1125
mysql.db_query.data_dt,0.50,908
mysql.db_query.data_varcode,0.55,4
