# Name,			Type,	B local,	Level (ltype, l1, l2), Timerange (pind, p1, p2)
ST_TYPE,		int,	B02001,		257,  0, 0,		0,      0, 0
ST_DIR,			int,	B01012,		257,  0, 0,		0,      0, 0
ST_SPEED,		int,	B01013,		257,  0, 0,		0,      0, 0
FLIGHT_REG_NO,		str,	B01008,		257,  0, 0,		0,      0, 0
FLIGHT_PHASE,		int,	B08004,		257,  0, 0,		0,      0, 0
FLIGHT_ROLL,		num,	B02063,		257,  0, 0,		0,      0, 0
FLIGHT_PRESS,		num,	B10004,		257,  0, 0,		0,      0, 0
NAVSYS,			int,	B02061,		257,  0, 0,		0,      0, 0
DATA_RELAY,		int,	B02062,		257,  0, 0,		0,      0, 0
WIND_INST,		int,	B02002,		257,  0, 0,		0,      0, 0
TEMP_PRECISION,		num,	B02005,		257,  0, 0,		0,      0, 0
LATLON_SPEC,		int,	B02070,		257,  0, 0,		0,      0, 0
TIMESIG,		int,	B08021,		257,  0, 0,		0,      0, 0
SONDE_TYPE,		int,	B02011,		257,  0, 0,		0,      0, 0
SONDE_METHOD,		int,	B02012,		257,  0, 0,		0,      0, 0
BLOCK,			int,	B01001,		257,  0, 0,		0,      0, 0
STATION,		int,	B01002,		257,  0, 0,		0,      0, 0
IDENT,			str,	B01011,		257,  0, 0,		0,      0, 0
YEAR,			int,	B04001,		257,  0, 0,		0,	0, 0
MONTH,			int,	B04002,		257,  0, 0,		0,	0, 0
DAY,			int,	B04003,		257,  0, 0,		0,	0, 0
HOUR,			int,	B04004,		257,  0, 0,		0,	0, 0
MINUTE,			int,	B04005,		257,  0, 0,		0,	0, 0
LATITUDE,		num,	B05001,		257,  0, 0,		0,      0, 0
LONGITUDE,		num,	B06001,		257,  0, 0,		0,      0, 0
HEIGHT,			int,	B07001,		257,  0, 0,		0,      0, 0
HEIGHT_BARO,		int,	B07031,		257,  0, 0,		0,      0, 0
PRESS,			num,	B10004,		  1,  0, 0,		0,      0, 0
PRESS_3H,		num,	B10061,		  1,  0, 0,		5, -10800, 0
PRESS_MSL,		num,	B10051,		102,  0, 0,		0,      0, 0
WIND_DIR,		num,	B11001,		105, 10, 0,		0,      0, 0
WIND_SPEED,		num,	B11002,		105, 10, 0,		0,      0, 0
TEMP_2M,		num,	B12001,		105,  2, 0,		0,      0, 0
WET_TEMP_2M,		num,	B12002,		105,  2, 0,		0,	0, 0
DEWPOINT_2M,		num,	B12003,		105,  2, 0,		0,      0, 0
HUMIDITY,		num,	B13003,		105,  2, 0,		0,	0, 0
WATER_TEMP,		num,	B22042,		  1,  0, 0,		0,	0, 0
HEIGHT_ANEM,		num,	B10197,		  1,  0, 0,		0,	0, 0
PRESS_TEND,		num,	B10063,		  1,  0, 0,		2, -10800, 0
VISIBILITY,		num,	B20001,		  1,  0, 0,		0,      0, 0
PRES_WTR,		int,	B20003,		  1,  0, 0,		0,      0, 0
PAST_WTR1,		int,	B20004,		  1,  0, 0,		2, -21600, 0
PAST_WTR2,		int,	B20005,		  1,  0, 0,		2, -21600, 0
CLOUD_N	,		int,	B20010,		256,  0, 0,		0,      0, 0
CLOUD_NH,		int,	B20011,		256,  0, 0,		0,      0, 0
CLOUD_HH,		int,	B20013,		256,  0, 0,		0,      0, 0
CLOUD_CL,		int,	B20012,		256,  0, 1,		0,      0, 0
CLOUD_CM,		int,	B20012,		256,  0, 2,		0,      0, 0
CLOUD_CH,		int,	B20012,		256,  0, 3,		0,      0, 0

CLOUD_N1,		int,	B20011,		256,  1, 0,		0,      0, 0
CLOUD_C1,		int,	B20012,		256,  1, 0,		0,      0, 0
CLOUD_H1,		int,	B20013,		256,  1, 0,		0,      0, 0

CLOUD_N2,		int,	B20011,		256,  2, 0,		0,      0, 0
CLOUD_C2,		int,	B20012,		256,  2, 0,		0,      0, 0
CLOUD_H2,		int,	B20013,		256,  2, 0,		0,      0, 0

CLOUD_N3,		int,	B20011,		256,  3, 0,		0,      0, 0
CLOUD_C3,		int,	B20012,		256,  3, 0,		0,      0, 0
CLOUD_H3,		int,	B20013,		256,  3, 0,		0,      0, 0

CLOUD_N4,		int,	B20011,		256,  4, 0,		0,      0, 0
CLOUD_C4,		int,	B20012,		256,  4, 0,		0,      0, 0
CLOUD_H4,		int,	B20013,		256,  4, 0,		0,      0, 0

TOT_PREC24,		num,	B13011,		  1,  0, 0,             4, -86400, 0
TOT_SNOW,		num,	B13013,		  1,  0, 0,             0,      0, 0
