Longitude,Latitude,Report,Date,Level1,L1,Level2,L2,Time range,P1,P2,Varcode,Value
9.2833,45.444,temp,2011-01-24 00:00:00,1,,,,254,0,0,B10004,100700
9.2833,45.444,temp,2011-01-24 00:00:00,100,770,0,5,254,0,0,B08001,4
9.2833,45.444,temp,2011-01-24 00:00:00,100,770,0,5,254,0,0,B12101,228.86
9.2833,45.444,temp,2011-01-24 00:00:00,100,770,0,5,254,0,0,B12103,192.86
9.2833,45.444,temp,2011-01-24 00:00:00,100,1000,0,2,254,0,0,B08001,32
9.2833,45.444,temp,2011-01-24 00:00:00,100,1000,0,2,254,0,0,B10008,302999
9.2833,45.444,temp,2011-01-24 00:00:00,100,1000,0,2,254,0,0,B11001,145
9.2833,45.444,temp,2011-01-24 00:00:00,100,1000,0,2,254,0,0,B11002,9.8
9.2833,45.444,temp,2011-01-24 00:00:00,100,1000,0,2,254,0,0,B12101,229.86
9.2833,45.444,temp,2011-01-24 00:00:00,100,1000,0,2,254,0,0,B12103,193.86
9.2833,45.444,temp,2011-01-24 00:00:00,100,1110,0,6,254,0,0,B08001,2
9.2833,45.444,temp,2011-01-24 00:00:00,100,1110,0,6,254,0,0,B11001,140
9.2833,45.444,temp,2011-01-24 00:00:00,100,1110,0,6,254,0,0,B11002,6.7
9.2833,45.444,temp,2011-01-24 00:00:00,100,1190,0,6,254,0,0,B08001,2
9.2833,45.444,temp,2011-01-24 00:00:00,100,1190,0,6,254,0,0,B11001,165
9.2833,45.444,temp,2011-01-24 00:00:00,100,1190,0,6,254,0,0,B11002,9.3
9.2833,45.444,temp,2011-01-24 00:00:00,100,1350,0,6,254,0,0,B08001,2
9.2833,45.444,temp,2011-01-24 00:00:00,100,1350,0,6,254,0,0,B11001,120
9.2833,45.444,temp,2011-01-24 00:00:00,100,1350,0,6,254,0,0,B11002,8.2
9.2833,45.444,temp,2011-01-24 00:00:00,100,1450,0,6,254,0,0,B08001,2
9.2833,45.444,temp,2011-01-24 00:00:00,100,1450,0,6,254,0,0,B11001,150
9.2833,45.444,temp,2011-01-24 00:00:00,100,1450,0,6,254,0,0,B11002,10.8
9.2833,45.444,temp,2011-01-24 00:00:00,100,1570,0,6,254,0,0,B08001,2
9.2833,45.444,temp,2011-01-24 00:00:00,100,1570,0,6,254,0,0,B11001,145
9.2833,45.444,temp,2011-01-24 00:00:00,100,1570,0,6,254,0,0,B11002,10.8
9.2833,45.444,temp,2011-01-24 00:00:00,100,1630,0,5,254,0,0,B08001,4
9.2833,45.444,temp,2011-01-24 00:00:00,100,1630,0,5,254,0,0,B12101,227.46
9.2833,45.444,temp,2011-01-24 00:00:00,100,1630,0,5,254,0,0,B12103,192.46
9.2833,45.444,temp,2011-01-24 00:00:00,100,1670,0,6,254,0,0,B08001,2
9.2833,45.444,temp,2011-01-24 00:00:00,100,1670,0,6,254,0,0,B11001,135
9.2833,45.444,temp,2011-01-24 00:00:00,100,1670,0,6,254,0,0,B11002,7.7
9.2833,45.444,temp,2011-01-24 00:00:00,100,1840,0,6,254,0,0,B08001,2
9.2833,45.444,temp,2011-01-24 00:00:00,100,1840,0,6,254,0,0,B11001,140
9.2833,45.444,temp,2011-01-24 00:00:00,100,1840,0,6,254,0,0,B11002,5.1
9.2833,45.444,temp,2011-01-24 00:00:00,100,1850,0,5,254,0,0,B08001,4
9.2833,45.444,temp,2011-01-24 00:00:00,100,1850,0,5,254,0,0,B12101,222.66
9.2833,45.444,temp,2011-01-24 00:00:00,100,1850,0,5,254,0,0,B12103,188.66
9.2833,45.444,temp,2011-01-24 00:00:00,100,2000,0,2,254,0,0,B08001,32
9.2833,45.444,temp,2011-01-24 00:00:00,100,2000,0,2,254,0,0,B10008,257765
9.2833,45.444,temp,2011-01-24 00:00:00,100,2000,0,2,254,0,0,B11001,70
9.2833,45.444,temp,2011-01-24 00:00:00,100,2000,0,2,254,0,0,B11002,4.6
9.2833,45.444,temp,2011-01-24 00:00:00,100,2000,0,2,254,0,0,B12101,223.26
9.2833,45.444,temp,2011-01-24 00:00:00,100,2000,0,2,254,0,0,B12103,189.26
9.2833,45.444,temp,2011-01-24 00:00:00,100,2210,0,6,254,0,0,B08001,2
9.2833,45.444,temp,2011-01-24 00:00:00,100,2210,0,6,254,0,0,B11001,115
9.2833,45.444,temp,2011-01-24 00:00:00,100,2210,0,6,254,0,0,B11002,1.0
9.2833,45.444,temp,2011-01-24 00:00:00,100,2230,0,5,254,0,0,B08001,4
9.2833,45.444,temp,2011-01-24 00:00:00,100,2230,0,5,254,0,0,B12101,224.06
9.2833,45.444,temp,2011-01-24 00:00:00,100,2230,0,5,254,0,0,B12103,190.06
