Suite,Test,User,System
synop,read,0.04,0
synop,decode,6.37,0.57
synop,interpret,5,0.15
synop,import,65.62,3.07
synop.db_all,query_stations,0,0
synop.db_all,query_data,11.17,1.2
synop.db_all,query_data_best,11.95,1.91
synop.db_all,query_summary,2.26,0.08
synop.db_anaid,query_stations,0,0
synop.db_anaid,query_data,0.24,0
synop.db_anaid,query_data_best,0.2,0.02
synop.db_anaid,query_summary,0.03,0
synop.db_anall,query_stations,0,0
synop.db_anall,query_data,1.9,0.1
synop.db_anall,query_data_best,1.78,0.22
synop.db_anall,query_summary,0.34,0
synop.db_level,query_stations,0.01,0
synop.db_level,query_data,21.5,2.5
synop.db_level,query_data_best,20.27,3.83
synop.db_level,query_summary,4.83,0.83
synop.db_report,query_stations,0.01,0
synop.db_report,query_data,61.26,4.86
synop.db_report,query_data_best,63.87,8.92
synop.db_report,query_summary,14.65,0.29
synop.db_datetime,query_stations,0,0
synop.db_datetime,query_data,10.81,1.13
synop.db_datetime,query_data_best,11.5,1.8
synop.db_datetime,query_summary,2.16,0.05
synop.db_varcode,query_stations,0,0
synop.db_varcode,query_data,3.58,0.35
synop.db_varcode,query_data_best,3.68,0.53
synop.db_varcode,query_summary,1.5,0.25
synop.db_anafilter,query_stations,0,0
synop.db_anafilter,query_data,10.97,0.95
synop.db_anafilter,query_data_best,11.27,1.84
synop.db_anafilter,query_summary,2.08,0.06
synop.db_datafilter,query_stations,0,0
synop.db_datafilter,query_data,11.12,0.89
synop.db_datafilter,query_data_best,11.61,1.65
synop.db_datafilter,query_summary,2.04,0.07
synop.db_attrfilter,query_stations,0.01,0
synop.db_attrfilter,query_data,10.86,1.01
synop.db_attrfilter,query_data_best,11.54,1.81
synop.db_attrfilter,query_summary,2.12,0.08
ship,read,0,0
ship,decode,1.14,0.09
ship,interpret,0.43,0
ship,import,4.96,0.34
ship.db_all,query_stations,0,0
ship.db_all,query_data,11.94,1.09
ship.db_all,query_data_best,12.07,1.95
ship.db_all,query_summary,2.26,0.09
ship.db_anaid,query_stations,0,0
ship.db_anaid,query_data,0.15,0
ship.db_anaid,query_data_best,0.15,0.02
ship.db_anaid,query_summary,0.02,0
ship.db_anall,query_stations,0.01,0
ship.db_anall,query_data,1.69,0.08
ship.db_anall,query_data_best,1.75,0.21
ship.db_anall,query_summary,0.34,0
ship.db_level,query_stations,0.02,0
ship.db_level,query_data,20.5,2.34
ship.db_level,query_data_best,21.09,3.89
ship.db_level,query_summary,5.37,0.9
ship.db_report,query_stations,0.03,0
ship.db_report,query_data,59.92,4.92
ship.db_report,query_data_best,62.4,9.06
ship.db_report,query_summary,14.77,0.3
ship.db_datetime,query_stations,0,0
ship.db_datetime,query_data,11.68,1.1
ship.db_datetime,query_data_best,12.29,1.76
ship.db_datetime,query_summary,2.38,0.06
ship.db_varcode,query_stations,0.02,0
ship.db_varcode,query_data,3.97,0.31
ship.db_varcode,query_data_best,4.01,0.59
ship.db_varcode,query_summary,1.57,0.33
ship.db_anafilter,query_stations,0.01,0
ship.db_anafilter,query_data,11.5,1.03
ship.db_anafilter,query_data_best,12.11,1.99
ship.db_anafilter,query_summary,2.34,0.02
ship.db_datafilter,query_stations,0,0.01
ship.db_datafilter,query_data,11.57,1.04
ship.db_datafilter,query_data_best,12.51,2.1
ship.db_datafilter,query_summary,2.29,0.06
ship.db_attrfilter,query_stations,0.01,0
ship.db_attrfilter,query_data,11.69,1.06
ship.db_attrfilter,query_data_best,12.19,1.94
ship.db_attrfilter,query_summary,2.31,0.05
pilottemp,read,0,0
pilottemp,decode,0.61,0.01
pilottemp,interpret,0.58,0
pilottemp,import,12.92,0.23
pilottemp.db_all,query_stations,0,0
pilottemp.db_all,query_data,14.25,1.44
pilottemp.db_all,query_data_best,14.99,2.27
pilottemp.db_all,query_summary,4.15,0.18
pilottemp.db_anaid,query_stations,0,0
pilottemp.db_anaid,query_data,0.16,0.01
pilottemp.db_anaid,query_data_best,0.16,0.02
pilottemp.db_anaid,query_summary,0.03,0
pilottemp.db_anall,query_stations,0,0
pilottemp.db_anall,query_data,2.15,0.12
pilottemp.db_anall,query_data_best,2.21,0.32
pilottemp.db_anall,query_summary,0.58,0.03
pilottemp.db_level,query_stations,0.03,0
pilottemp.db_level,query_data,20.73,2.35
pilottemp.db_level,query_data_best,21.06,3.97
pilottemp.db_level,query_summary,5.39,0.89
pilottemp.db_report,query_stations,0.02,0
pilottemp.db_report,query_data,60.51,5.02
pilottemp.db_report,query_data_best,62.99,8.86
pilottemp.db_report,query_summary,15.28,0.35
pilottemp.db_datetime,query_stations,0.01,0
pilottemp.db_datetime,query_data,14.34,1.29
pilottemp.db_datetime,query_data_best,15.08,2.08
pilottemp.db_datetime,query_summary,4.34,0.07
pilottemp.db_varcode,query_stations,0.02,0
pilottemp.db_varcode,query_data,5.26,0.5
pilottemp.db_varcode,query_data_best,5.44,0.72
pilottemp.db_varcode,query_summary,2.62,0.31
pilottemp.db_anafilter,query_stations,0.01,0
pilottemp.db_anafilter,query_data,14.21,1.19
pilottemp.db_anafilter,query_data_best,14.69,2.45
pilottemp.db_anafilter,query_summary,4.08,0.09
pilottemp.db_datafilter,query_stations,0,0
pilottemp.db_datafilter,query_data,14.17,1.23
pilottemp.db_datafilter,query_data_best,14.69,2.32
pilottemp.db_datafilter,query_summary,4.08,0.08
pilottemp.db_attrfilter,query_stations,0,0
pilottemp.db_attrfilter,query_data,14.04,1.3
pilottemp.db_attrfilter,query_data_best,14.66,2.19
pilottemp.db_attrfilter,query_summary,4.11,0.1
airep,read,0.04,0
airep,decode,4.36,0.51
airep,interpret,2,0
airep,import,34.2,2.59
airep.db_all,query_stations,0.13,0
airep.db_all,query_data,17.62,1.77
airep.db_all,query_data_best,18.32,3.47
airep.db_all,query_summary,6.75,0.29
airep.db_anaid,query_stations,0.04,0.01
airep.db_anaid,query_data,0.15,0
airep.db_anaid,query_data_best,0.16,0.01
airep.db_anaid,query_summary,0.02,0
airep.db_anall,query_stations,0.05,0
airep.db_anall,query_data,2.82,0.19
airep.db_anall,query_data_best,2.9,0.39
airep.db_anall,query_summary,1.11,0.04
airep.db_level,query_stations,0.67,0
airep.db_level,query_data,20.64,2.49
airep.db_level,query_data_best,21.18,4.04
