Suite,Test,User,System
synop,read,0.03,0.01
synop,decode,6.34,0.66
synop,interpret,4.41,0.15
synop,import,69.1,3.2
synop.db_all,query_stations,0,0
synop.db_all,query_data,10.78,1.17
synop.db_all,query_data_best,11.69,1.8
synop.db_all,query_summary,2.05,0.07
synop.db_anaid,query_stations,0,0
synop.db_anaid,query_data,0.15,0
synop.db_anaid,query_data_best,0.2,0.02
synop.db_anaid,query_summary,0.02,0
synop.db_anall,query_stations,0,0
synop.db_anall,query_data,1.6,0.1
synop.db_anall,query_data_best,1.68,0.25
synop.db_anall,query_summary,0.27,0
synop.db_level,query_stations,0.01,0
synop.db_level,query_data,19.26,2.07
synop.db_level,query_data_best,19.59,3.67
synop.db_level,query_summary,4.65,0.88
synop.db_report,query_stations,0.01,0
synop.db_report,query_data,59.43,5.07
synop.db_report,query_data_best,62.52,8.33
synop.db_report,query_summary,14.71,0.28
synop.db_datetime,query_stations,0,0
synop.db_datetime,query_data,11.82,1.03
synop.db_datetime,query_data_best,12.43,1.81
synop.db_datetime,query_summary,3.08,0.09
synop.db_varcode,query_stations,0,0
synop.db_varcode,query_data,3.65,0.27
synop.db_varcode,query_data_best,3.66,0.55
synop.db_varcode,query_summary,1.48,0.28
synop.db_anafilter,query_stations,0.01,0
synop.db_anafilter,query_data,10.85,0.92
synop.db_anafilter,query_data_best,11.48,1.64
synop.db_anafilter,query_summary,2.05,0.06
synop.db_datafilter,query_stations,0,0
synop.db_datafilter,query_data,10.83,1.05
synop.db_datafilter,query_data_best,11.41,1.77
synop.db_datafilter,query_summary,2.03,0.09
synop.db_attrfilter,query_stations,0,0
synop.db_attrfilter,query_data,10.8,1.02
synop.db_attrfilter,query_data_best,11.46,1.71
synop.db_attrfilter,query_summary,2.08,0.03
ship,read,0,0
ship,decode,1.03,0.1
ship,interpret,0.42,0
ship,import,5.03,0.32
ship.db_all,query_stations,0,0
ship.db_all,query_data,11.45,1.09
ship.db_all,query_data_best,12.12,1.8
ship.db_all,query_summary,2.26,0.08
ship.db_anaid,query_stations,0,0
ship.db_anaid,query_data,0.15,0
ship.db_anaid,query_data_best,0.16,0.01
ship.db_anaid,query_summary,0.02,0
ship.db_anall,query_stations,0,0
ship.db_anall,query_data,1.71,0.06
ship.db_anall,query_data_best,1.74,0.26
ship.db_anall,query_summary,0.32,0.01
ship.db_level,query_stations,0.03,0
ship.db_level,query_data,20.64,2.09
ship.db_level,query_data_best,21.33,3.66
ship.db_level,query_summary,5.32,1.01
ship.db_report,query_stations,0.02,0
ship.db_report,query_data,60.67,5.03
ship.db_report,query_data_best,62.24,8.91
ship.db_report,query_summary,14.67,0.35
ship.db_datetime,query_stations,0,0
ship.db_datetime,query_data,12.58,1.19
ship.db_datetime,query_data_best,13.31,1.71
ship.db_datetime,query_summary,3.4,0.14
ship.db_varcode,query_stations,0.02,0
ship.db_varcode,query_data,3.88,0.33
ship.db_varcode,query_data_best,3.94,0.58
ship.db_varcode,query_summary,1.64,0.27
ship.db_anafilter,query_stations,0,0
ship.db_anafilter,query_data,11.43,1.11
ship.db_anafilter,query_data_best,11.94,1.95
ship.db_anafilter,query_summary,2.28,0.08
ship.db_datafilter,query_stations,0.01,0
ship.db_datafilter,query_data,11.56,1
ship.db_datafilter,query_data_best,12,1.94
ship.db_datafilter,query_summary,2.27,0.06
ship.db_attrfilter,query_stations,0.01,0
ship.db_attrfilter,query_data,11.51,1.05
ship.db_attrfilter,query_data_best,12.19,1.88
ship.db_attrfilter,query_summary,2.28,0.05
pilottemp,read,0,0
pilottemp,decode,0.59,0.02
pilottemp,interpret,0.57,0
